temp_c,precip_mm,humidity,pressure_mb,wind_kph,cloud,dewpoint_c,feelslike_c,vis_km,gust_kph,condition,dewpoint_depression,hour,condition_encoded
27.5,0.0,87,1008.0,10.4,82,25.2,32.3,9.0,16.1,Cloudy,2.3000000000000007,18,1
27.2,0.0,77,1009.0,11.9,6,22.9,30.3,10.0,14.8,Sunny,4.300000000000001,17,8
27.6,0.0,76,1008.0,16.2,83,22.5,31.0,10.0,24.0,Cloudy,5.100000000000001,15,1
21.9,2.0,94,1020.0,17.0,100,20.9,23.9,7.0,26.2,Moderate or heavy rain shower,1.0,21,4
23.8,0.5,84,1017.0,13.2,76,20.9,25.8,2.0,22.0,Moderate rain at times,2.900000000000002,23,6
25.8,10.9,91,1012.0,9.4,94,24.3,29.3,10.0,17.5,Moderate or heavy rain shower,1.5,13,4
28.3,0.6,80,1003.0,9.7,80,24.6,33.1,10.0,13.9,Moderate rain at times,3.6999999999999993,17,6
18.2,0.5,83,1019.0,6.8,100,15.3,20.2,10.0,17.6,Moderate rain at times,2.8999999999999986,12,6
21.7,0.1,96,1011.0,9.0,70,21.0,23.7,2.0,14.5,Patchy rain possible,0.6999999999999993,3,0
26.8,0.0,79,1004.0,6.5,28,22.8,29.8,10.0,8.2,Partly cloudy,4.0,8,2
25.6,0.0,91,1010.0,8.6,71,24.0,28.8,10.0,11.7,Cloudy,1.6000000000000014,23,1
24.2,0.0,82,1010.0,11.7,9,20.9,26.2,10.0,20.5,Clear,3.3000000000000007,19,3
28.1,0.0,64,1005.0,14.4,13,20.6,30.3,10.0,18.4,Sunny,7.5,12,8
27.5,0.0,75,1005.0,6.8,30,22.8,30.6,10.0,8.9,Partly cloudy,4.699999999999999,8,2
19.6,0.3,91,1017.0,6.8,100,18.1,21.6,10.0,9.8,Patchy rain possible,1.5,7,0
25.9,0.0,85,1005.0,7.6,20,23.3,28.9,10.0,9.9,Clear,2.599999999999998,5,3
26.6,0.0,86,1003.0,7.6,47,24.0,30.1,10.0,10.9,Partly cloudy,2.6000000000000014,7,2
24.0,1.1,89,1013.0,12.0,66,22.1,26.3,10.0,30.7,Heavy rain at times,1.8999999999999984,17,5
23.7,0.0,81,1015.0,13.7,70,20.2,25.6,10.0,20.6,Cloudy,3.5,17,1
16.6,0.0,89,1012.0,8.6,2,14.9,18.6,10.0,12.7,Clear,1.700000000000001,4,3
19.6,0.0,85,1017.0,7.6,100,17.4,21.6,10.0,10.7,Overcast,2.200000000000003,23,7
29.6,0.0,78,1006.0,7.2,75,25.3,35.8,10.0,16.7,Cloudy,4.300000000000001,18,1
27.4,0.0,82,1005.0,6.0,22,24.2,31.5,10.0,12.2,Clear,3.1999999999999997,22,3
28.8,0.0,78,1005.0,6.1,84,24.6,33.9,10.0,14.5,Cloudy,4.199999999999999,10,1
24.5,0.0,88,1007.0,6.0,83,22.4,26.9,10.0,7.6,Cloudy,2.1000000000000014,1,1
20.4,0.2,81,1016.0,7.6,80,17.0,22.4,10.0,12.2,Patchy rain possible,3.3999999999999986,19,0
22.9,0.6,91,1012.0,5.0,58,21.4,25.2,10.0,8.3,Moderate rain at times,1.5,18,6
26.1,0.3,75,1015.0,12.6,73,21.3,28.2,10.0,21.6,Patchy rain possible,4.800000000000001,10,0
24.3,0.2,89,1013.0,10.4,71,22.4,26.6,10.0,16.9,Patchy rain possible,1.900000000000002,19,0
21.1,0.0,93,1019.0,8.6,100,19.9,23.1,2.0,12.3,Overcast,1.2000000000000028,8,7
27.5,0.6,84,1004.0,7.6,76,24.6,31.9,9.0,14.8,Moderate rain at times,2.8999999999999986,16,6
26.4,0.0,79,1009.0,10.8,14,22.5,29.1,10.0,14.3,Sunny,3.899999999999999,9,8
21.5,0.0,86,1005.0,5.4,73,19.1,23.5,10.0,8.9,Cloudy,2.3999999999999986,2,1
22.8,0.2,90,1011.0,9.4,92,21.1,25.1,10.0,11.4,Patchy rain possible,1.6999999999999993,2,0
24.9,0.0,71,1012.0,11.5,4,19.0,26.6,10.0,18.7,Sunny,5.899999999999999,15,8
25.5,0.0,79,1006.0,10.8,24,21.6,27.7,10.0,15.9,Sunny,3.899999999999999,6,8
23.2,0.0,94,1007.0,7.9,83,22.1,25.6,10.0,9.9,Cloudy,1.099999999999998,4,1
20.4,0.0,86,1015.0,5.0,61,18.0,22.4,10.0,7.8,Cloudy,2.3999999999999986,23,1
25.3,0.0,92,1006.0,4.3,82,24.0,28.5,10.0,6.7,Cloudy,1.3000000000000007,1,1
31.5,0.0,65,997.0,9.8,22,24.3,37.4,10.0,19.5,Sunny,7.199999999999999,17,8
22.2,0.5,92,1016.0,10.8,100,20.9,24.6,2.0,19.1,Moderate rain at times,1.3000000000000007,15,6
27.4,0.0,77,1013.0,10.8,78,23.1,30.7,9.0,28.2,Cloudy,4.299999999999997,11,1
27.2,0.0,80,1003.0,8.6,46,23.5,30.7,10.0,11.4,Partly cloudy,3.6999999999999993,1,2
22.2,0.0,87,1013.0,5.0,75,20.1,24.6,10.0,8.4,Cloudy,2.099999999999998,0,1
20.1,0.0,92,1020.0,18.0,100,18.7,22.1,10.0,24.2,Overcast,1.400000000000002,19,7
25.9,0.0,80,1004.0,10.4,24,22.2,28.4,10.0,14.9,Clear,3.6999999999999993,4,3
24.1,0.0,90,1010.0,7.6,83,22.3,26.4,10.0,12.5,Cloudy,1.8000000000000007,4,1
27.6,0.1,88,1004.0,10.4,86,24.9,32.2,10.0,19.7,Patchy rain possible,2.700000000000003,21,0
25.0,0.0,86,1007.0,6.8,11,22.5,27.4,10.0,8.9,Clear,2.5,5,3
21.6,0.0,77,1015.0,12.2,78,17.3,23.6,10.0,15.8,Cloudy,4.300000000000001,16,1
23.3,3.3,93,1011.0,11.9,100,22.2,25.6,10.0,17.9,Moderate or heavy rain shower,1.1000000000000014,1,4
26.1,0.0,78,999.0,12.2,35,22.0,28.6,10.0,18.9,Partly cloudy,4.100000000000001,4,2
